Artist,Track,Peak Position,Year,Peak Date
Love & Kisses,Thank God It's Friday,22,1978,7/22/78
Toby Beau,My Angel Baby,13,1978,8/12/78
Steve Martin,King Tut,17,1978,8/12/78
Walter Egan,Magnet and Steel,8,1978,8/26/78
Boney M,Rivers of Babylon,30,1978,8/26/78
Cheryl Ladd,Think It Over,34,1978,9/9/78
Chris Rea,Fool (If You Think It's Over),12,1978,9/16/78
John Paul Young,Love Is in the Air,7,1978,10/14/78
City Boy,5.7.0.5.,27,1978,10/14/78
Nick Gilder,Hot Child in the City,1,1978,10/28/78
Stonebolt,I Will Still Love You,29,1978,10/28/78
Funkadelic,One Nation Under a Groove,28,1978,11/18/78
Lindisfarne,Run for Home,33,1978,12/9/78
Switch,There'll Never Be,36,1978,12/9/78
Alicia Bridges,I Love the Nightlife (Disco 'Round),5,1978,12/23/78
Ace Frehley,New York Groove,13,1979,2/3/79
Chanson,Don't Hold Back,21,1979,2/3/79
Cheryl Lynn,Got to Be Real,12,1979,2/17/79
Ian Matthews,Shake It,13,1979,2/17/79
Gonzalez,Haven't Stopped Dancing Yet,26,1979,3/10/79
Bobby Caldwell,What You Won't Do for Love,9,1979,3/24/79
Brooklyn Dreams,Heaven Knows,4,1979,3/31/79
Giorgio Moroder,Chase,33,1979,3/31/79
Chuck Brown and the Soul Searchers,"Bustin' Loose, Part 1",34,1979,4/7/79
Amii Stewart,Knock on Wood,1,1979,4/21/79
Bell and James,Livin' It Up (Friday Night),15,1979,4/21/79
Frank Mills,Music Box Dancer,3,1979,5/5/79
Ironhorse,Sweet Lui-Louise,36,1979,5/5/79
Suzi Quatro,Stumblin' In,4,1979,5/12/79
Instant Funk,I Got My Mind Made Up (You Can Get It Girl),20,1979,5/12/79
"McGuinn, Clark and Hillman",Don't You Write Her Off,33,1979,5/12/79
Tycoon,Such a Woman,26,1979,5/26/79
Barbara Mandrell,(If Loving You Is Wrong) I Don't Want to Be Right,31,1979,6/2/79
Alton McClain and Destiny,It Must Be Love,32,1979,6/9/79
Randy VanWarmer,Just When I Needed You Most,4,1979,6/16/79
Roger Voudouris,Get Used to It,21,1979,6/16/79
New England,Don't Ever Wanna Lose Ya,40,1979,6/16/79
Anita Ward,Ring My Bell,1,1979,6/30/79
David Naughton,Makin' It,5,1979,7/21/79
McFadden & Whitehead,Ain't No Stoppin' Us Now,13,1979,7/21/79
Pink Lady,Kiss in the Dark,37,1979,8/4/79
Jones Girls,You Gonna Make Me Love Somebody Else,38,1979,8/18/79
Spyro Gyra,Morning Dance,24,1979,8/25/79
The Rockets,Oh Well,30,1979,9/1/79
Bram Tchaikovsky,Girl of My Dreams,37,1979,9/1/79
Herman Brood,Saturday Night,35,1979,9/8/79
Nick Lowe,Cruel to Be Kind,12,1979,9/29/79
Sniff 'n' the Tears,Driver's Seat,15,1979,9/29/79
Patrick Hernandez,Born to Be Alive,16,1979,9/29/79
Moon Martin,Rolene,30,1979,10/13/79
Ian Gomm,Hold On,18,1979,10/27/79
M,Pop Muzik,1,1979,11/3/79
The Crusaders,Street Life,36,1979,11/10/79
France Joli,Come to Me,15,1979,11/17/79
Lauren Wood,Please Don't Leave,24,1979,11/24/79
Kermit the Frog,Rainbow Connection,25,1979,11/24/79
Niteflyte,If You Want It,37,1979,12/1/79
Richie Furay,I Still Have Dreams,39,1979,12/15/79
The Buggles,Video Killed the Radio Star[J4],40,1979,12/15/79
Tom Johnston,Savannah Nights,34,1980,1/12/80
The Sugarhill Gang,Rapper's Delight,36,1980,1/12/80
Steve Forbert,Romeo's Tune,11,1980,2/23/80
Teri DeSario,Yes I'm Ready,2,1980,3/1/80
Syreeta,With You I'm Born Again,4,1980,4/19/80
Utopia,Set Me Free,27,1980,4/19/80
Felix Cavaliere,Only a Lonely Heart Sees,36,1980,4/19/80
Charlie Dore,Pilot of the Airwaves,13,1980,5/3/80
James Last Band,The Seduction (Love Theme from American Gigolo),28,1980,5/24/80
Lipps Inc.,Funkytown,1,1980,5/31/80
Bernadette Peters,Gee Whiz,31,1980,5/31/80
Gary Numan,Cars,9,1980,6/7/80
Bruce Cockburn,Wondering Where the Lions Are,21,1980,6/7/80
Spider,New Romance (It's a Mystery),39,1980,6/7/80
Dara Sedaka,Should've Never Let You Go,19,1980,6/28/80
Rodney Crowell,Ashes by Now,37,1980,7/5/80
Rick Pinette and Oak,King of the Hill,36,1980,7/19/80
Change,A Lover's Holiday,40,1980,7/19/80
Rocky Burnette,Tired of Toein' the Line,8,1980,7/26/80
Mickey Gilley,Stand by Me,22,1980,8/2/80
The S.O.S. Band,Take Your Time (Do It Right),3,1980,8/16/80
Ali Thomson,Take a Little Rhythm,15,1980,8/23/80
Benny Mardones,Into the NightA,11,1980,9/6/80
Johnny Lee,Lookin' for Love,5,1980,9/20/80
Larry Graham,One in a Million You,9,1980,9/20/80
Amy Holland,How Do I Survive,22,1980,10/11/80
The Larsen-Feiten Band,Who'll Be the Fool Tonight,29,1980,10/11/80
Devo,Whip It,14,1980,11/15/80
Jimmy Hall,I'm Happy That Love Has Found You,27,1980,11/22/80
Nielsen/Pearson,If You Should Sail,38,1980,11/22/80
Roger Daltrey,Without Your Love,20,1980,11/29/80
The Vapors,Turning Japanese,36,1980,11/29/80
Don Williams,I Believe in You,24,1980,12/20/80
The Korgis,Everybody's Got to Learn Sometime,18,1980,12/27/80
Susan Anton,Killin' Time,28,1981,2/7/81
Delbert McClinton,Giving It Up for Your Love,8,1981,2/21/81
Tierra,Together,18,1981,2/21/81
Phil Seymour,Precious to Me,22,1981,3/28/81
Yarbrough and Peoples,Don't Stop the Music,19,1981,4/11/81
Terri Gibbs,Somebody's Knockin',13,1981,4/25/81
Emmylou Harris,Mister Sandman,37,1981,4/25/81
"Grover Washington, Jr.",Just the Two of Us,2,1981,5/2/81
John O'Banion,Love You Like I Never Loved Before,24,1981,5/16/81
T.G. Sheppard,I Loved 'Em Every One,37,1981,5/16/81
Get Wet,Just So Lonely,39,1981,5/30/81
Jesse Winchester,Say What,32,1981,6/13/81
Dottie West,What Are We Doin' in Love,14,1981,6/27/81
Lee Ritenour,Is It You,15,1981,6/27/81
Carole Bayer Sager,Stronger Than Before,30,1981,7/11/81
Rosanne Cash,Seven Year Ache,22,1981,7/18/81
Stanley Clarke and George Duke,Sweet Baby,19,1981,8/1/81
Joey Scarbury,Theme from The Greatest American Hero (Believe It or Not),2,1981,8/15/81
John Schneider,It's Now or Never,14,1981,8/15/81
Frankie Smith,Double Dutch Bus,30,1981,8/15/81
Jim Steinman,Rock and Roll Dreams Come Through,32,1981,8/15/81
Robbie Patton,Don't Give It Up,26,1981,8/22/81
Rachel Sweet,Everlasting Love,32,1981,8/22/81
Point Blank,Nicole,39,1981,9/5/81
Silver Condor,You Could Take My Heart Away,32,1981,9/19/81
Balance,Breaking Away,22,1981,9/26/81
The Afternoon Delights,General Hospi-Tale,33,1981,10/3/81
Larry Carlton,The Theme from Hill Street Blues,10,1981,11/14/81
Diesel,Sausalito Summernight,25,1981,11/21/81
Chris Christian,"I Want You, I Need You",37,1981,11/21/81
Sneaker,More Than Just the Two of Us,34,1982,1/23/82
Royal Philharmonic Orchestra,Hooked on Classics,10,1982,1/30/82
Eddie Schwartz,All Our Tomorrows,28,1982,2/20/82
Skyy,Call Me,26,1982,3/6/82
Prism,Don't Let Him Know,39,1982,3/13/82
Buckner & Garcia,Pac-Man Fever,9,1982,3/27/82
Bob and Doug McKenzie,Take Off,16,1982,3/27/82
Bertie Higgins,Key Largo,8,1982,4/17/82
Le Roux,Nobody Said It Was Easy (Lookin' for the Lights),18,1982,4/17/82
Junior,Mama Used to Say,30,1982,4/24/82
Tom Tom Club,Genius of Love,31,1982,4/24/82
Greg Guidry,Goin' Down,17,1982,5/1/82
David Lasley,If I Had My Wish Tonight,36,1982,5/1/82
Vangelis,Chariots of Fire – Titles,1,1982,5/8/82
Charlene,I've Never Been to Me,3,1982,5/22/82
Aldo Nova,Fantasy,23,1982,5/29/82
Chéri,Murphy's Law,39,1982,6/5/82
Rainbow,Stone Cold,40,1982,6/19/82
Patrice Rushen,Forget Me Nots,23,1982,7/3/82
Dazz Band,Let It Whip,5,1982,7/17/82
Soft Cell,Tainted Love,8,1982,7/17/82
Larry Elgart and His Manhattan Swing Orchestra,Hooked on Swing,31,1982,7/24/82
Eye to Eye,Nice Girls,37,1982,7/24/82
Karla Bonoff,Personally,19,1982,8/7/82
Haircut One Hundred,Love Plus One,37,1982,8/7/82
Leslie Pearl,If the Love Fits Wear It,28,1982,8/14/82
Jennifer Holliday,And I Am Telling You I'm Not Going,22,1982,8/28/82
Marshall Crenshaw,"Someday, Someway",36,1982,8/28/82
Frank Zappa,Valley Girl,32,1982,9/11/82
Tané Cain,Holdin' On,37,1982,9/18/82
Rush,New World Man,21,1982,10/30/82
Sylvia,Nobody,15,1982,11/20/82
Donald Fagen,I.G.Y. (What a Beautiful World),26,1982,11/27/82
Toni Basil,Mickey,1,1982,12/11/82
Moving Pictures,What About Me,29,1983,2/12/83
Patti Austin,"Baby, Come to Me",1,1983,2/19/83
Pia Zadora,The Clapping Song,36,1983,2/19/83
Musical Youth,Pass the Dutchie,10,1983,2/26/83
Saga,On the Loose,26,1983,2/26/83
Vandenberg,Burning Heart,39,1983,3/12/83
Frida,I Know There's Something Going On,13,1983,3/26/83
Dexys Midnight Runners,Come On Eileen,1,1983,4/23/83
Oxo,Whirly Girl,28,1983,4/23/83
After the Fire,Der Kommissar,5,1983,4/30/83
Patrick Simmons,So Wrong,30,1983,5/7/83
Thomas Dolby,She Blinded Me with Science,5,1983,5/14/83
Robert Ellis Orrall and Carlene Carter,I Couldn't Say No,32,1983,5/21/83
Jim Capaldi,That's Love,28,1983,6/18/83
Kajagoogoo,Too Shy,5,1983,7/9/83
Martin Briley,The Salt in My Tears,36,1983,7/30/83
Charlie,It's Inevitable,38,1983,8/13/83
Taco,Puttin' on the Ritz,4,1983,9/3/83
Frank Stallone,Far from Over,10,1983,10/1/83
Agnetha Fältskog,Can't Shake Loose,29,1983,11/5/83
JoBoxers,Just Got Lucky,36,1983,11/19/83
Big Country,In a Big Country,17,1983,12/3/83
Peter Schilling,Major Tom (Coming Home),14,1983,12/24/83
Jump 'N the Saddle Band,The Curly Shuffle,15,1984,1/21/84
Deborah Allen,Baby I Lied,26,1984,1/21/84
Shannon,Let the Music Play,8,1984,2/25/84
Nena,99 Luftballons,2,1984,3/3/84
Re-Flex,The Politics of Dancing,24,1984,3/17/84
Tracey Ullman,They Don't Know,8,1984,4/28/84
Laid Back,White Horse,26,1984,5/12/84
Talk Talk,It's My Life,31,1984,5/19/84
The Style Council,My Ever Changing Moods,29,1984,6/9/84
The Icicle Works,Whisper to a Scream (Birds Fly),37,1984,6/9/84
Van Stephenson,Modern Day Delilah,22,1984,6/30/84
Mike Reno,Almost Paradise... Love Theme from Footloose,7,1984,7/14/84
Face to Face,39730,38,1984,7/21/84
Ollie & Jerry,Breakin'... There's No Stopping Us,9,1984,8/4/84
Scandal,The Warrior,7,1984,9/22/84
Twisted Sister,We're Not Gonna Take It,21,1984,9/22/84
Joyce Kennedy,The Last Time I Made Love,40,1984,10/6/84
Romeo Void,A Girl in Trouble (Is a Temporary Thing),35,1984,10/27/84
Dennis DeYoung,Desert Moon,10,1984,11/10/84
Sam Harris,Sugar Don't Bite,36,1984,11/10/84
Tommy Shaw,Girls with Guns,33,1984,11/17/84
Rebbie Jackson,Centipede,24,1984,12/22/84
Jack Wagner,All I Need,2,1985,1/12/85
Band Aid,Do They Know It's Christmas?,13,1985,1/19/85
Philip Bailey,Easy Lover,2,1985,2/2/85
Giuffria,Call to the Heart,15,1985,2/2/85
Midnight Star,Operator,18,1985,2/2/85
John Hunter,Tragedy,39,1985,2/16/85
Frankie Goes to Hollywood,Relax,10,1985,3/16/85
Autograph,Turn Up the Radio,29,1985,3/16/85
Pat Metheny Group,This Is Not America,32,1985,3/23/85
USA for Africa,We Are the World,1,1985,4/13/85
The Firm,Radioactive,28,1985,4/13/85
Harold Faltermeyer,Axel F,3,1985,6/1/85
Alison Moyet,Invisible,31,1985,6/1/85
Mary Jane Girls,In My House,7,1985,6/8/85
Limahl,The NeverEnding Story,17,1985,6/15/85
Graham Parker and the Shot,Wake Up (Next to You),39,1985,6/22/85
Paul Hardcastle,19,15,1985,7/20/85
Cock Robin,When Your Heart Is Weak,35,1985,8/31/85
Chrissie Hynde,I Got You Babe,28,1985,9/21/85
Godley & Creme,Cry,16,1985,10/5/85
Jan Hammer,Miami Vice Theme,1,1985,11/9/85
David Foster,Love Theme from St. Elmo's Fire,15,1985,11/16/85
Kate Bush,Running Up That Hill,30,1985,11/30/85
Starpoint,Object of My Desire,25,1985,12/14/85
Artists United Against Apartheid,Sun City,38,1985,12/14/85
Scritti Politti,Perfect Way,11,1985,12/21/85
Clarence Clemons,You're a Friend of Mine,18,1986,1/18/86
Ta Mara and the Seen,Everybody Dance,24,1986,1/18/86
Baltimora,Tarzan Boy,13,1986,3/1/86
Robert Tepper,No Easy Way Out,22,1986,3/29/86
Opus,Live Is Life,32,1986,3/29/86
Sly Fox,Let's Go All the Way,7,1986,4/12/86
Force MDs,Tender Love,10,1986,4/12/86
John Taylor,I Do What I Do (Theme for 9_ Weeks),23,1986,4/26/86
Honeymoon Suite,Feel It Again,34,1986,5/10/86
Boys Don't Cry,I Wanna Be a Cowboy,12,1986,6/21/86
Models,"Out of Mind, Out of Sight",37,1986,6/21/86
The Fabulous Thunderbirds,Tuff Enuff,10,1986,7/12/86
GTR,When the Heart Rules the Mind,14,1986,7/12/86
The Blow Monkeys,Digging Your Scene,14,1986,8/2/86
Andy Taylor,Take It Easy,24,1986,8/2/86
Device,Hanging on a Heart Attack,35,1986,8/9/86
Timex Social Club,Rumors,8,1986,8/16/86
Gavin Christopher,One Step Closer to You,22,1986,8/16/86
Regina,Baby Love,10,1986,9/13/86
Double,The Captain of Her Heart,16,1986,9/13/86
Gloria Loring and Carl Anderson,Friends and Lovers,2,1986,9/27/86
Max Headroom,Paranoimia,34,1986,10/4/86
"Oran ""Juice"" Jones",The Rain,9,1986,11/15/86
Ric Ocasek,Emotion in Motion,15,1986,11/15/86
David and David,Welcome to the Boomtown,37,1986,11/29/86
Timbuk 3,"The Future's So Bright, I Gotta Wear Shades",19,1986,12/27/86
Nancy Martinez,For Tonight,32,1986,12/27/86
Gregory Abbott,Shake You Down,1,1987,1/17/87
Benjamin Orr,Stay the Night,24,1987,2/14/87
The Georgia Satellites,Keep Your Hands to Yourself,2,1987,2/21/87
Chico DeBarge,Talk to Me,21,1987,2/21/87
Jeff Lorber,Facts of Love,27,1987,2/21/87
Bruce Willis,Respect Yourself,5,1987,3/7/87
The Communards,Don't Leave Me This Way,40,1987,3/7/87
Shirley Murdock,As We Lay,23,1987,3/28/87
Hipsway,The Honeythief,19,1987,4/4/87
The Barbusters,Light of Day,33,1987,4/4/87
Robert Cray Band,Smoking Gun,22,1987,4/18/87
World Party,Ship of Fools (Save Me from Tomorrow),27,1987,4/25/87
Donna Allen,Serious,21,1987,5/9/87
The Psychedelic Furs,Heartbreak Beat,26,1987,5/23/87
Breakfast Club,Right on Track,7,1987,5/30/87
Company B,Fascinated,21,1987,6/13/87
Partland Brothers,Soul City,27,1987,6/27/87
Jennifer Rush,The Flames of Paradise,36,1987,7/11/87
The System,Don't Disturb This Groove,4,1987,7/18/87
Pseudo Echo,Funky Town,6,1987,7/18/87
The Nylons,Kiss Him Goodbye,12,1987,8/1/87
T'Pau,Heart and Soul,4,1987,8/8/87
Living in a Box,Living in a Box,17,1987,8/22/87
Jonathan Butler,Lies,27,1987,8/29/87
Danny Wilson,Mary's Prayer,23,1987,9/5/87
Grateful Dead,Touch of Grey,9,1987,9/26/87
The Other Ones,Holiday,29,1987,10/17/87
LeVert,Casanova,5,1987,10/31/87
Timothy B. Schmit,Boys Night Out,25,1987,11/7/87
Wa Wa Nee,Sugar Free,35,1987,11/14/87
Bill Medley,(I've Had) The Time of My Life,1,1987,11/28/87
Bourgeois Tagg,I Don't Mind at All,38,1987,12/5/87
Kane Gang,Motortown,36,1987,12/19/87
Stryper,Honestly,23,1988,1/30/88
MARRS,Pump Up the Volume,13,1988,2/20/88
Patrick Swayze,She's Like the Wind,3,1988,2/27/88
Scarlett and Black,You Don't Know,20,1988,4/16/88
Morris Day,Fishnet,23,1988,4/23/88
Bryan Ferry,Kiss and Tell,31,1988,4/30/88
Dan Reed Network,Ritual,38,1988,5/7/88
Suave,My Girl,20,1988,5/14/88
The Deele,Two Occasions,10,1988,5/21/88
Times Two,Strange but True,21,1988,5/21/88
E.U.,Da Butt,35,1988,5/21/88
Bardeux,When We Kiss,36,1988,6/4/88
The Church,Under the Milky Way,24,1988,6/18/88
J. J. Fad,Supersonic,30,1988,6/18/88
Midnight Oil,Beds Are Burning,17,1988,7/2/88
Ziggy Marley and the Melody Makers,Tomorrow People,39,1988,7/9/88
Jane Wiedlin,Rush Hour,9,1988,7/30/88
Climie Fisher,Love Changes (Everything),23,1988,7/30/88
Denise Lopez,Sayin' Sorry (Don't Make It Right),31,1988,8/20/88
Bobby McFerrin,"Don't Worry, Be Happy",1,1988,9/24/88
Rob Base and DJ E-Z Rock,It Takes Two,36,1988,10/29/88
Giant Steps,Another Lover,13,1988,11/12/88
When in Rome,The Promise,11,1988,12/10/88
Ivan Neville,Not Just Another Girl,26,1988,12/10/88
Judson Spence,"Yeah, Yeah, Yeah",32,1988,12/10/88
Cheryl Pepsii Riley,Thanks for My Child,32,1988,12/24/88
Boys Club,I Remember Holding You,8,1989,1/14/89
Sheriff,When I'm with You,1,1989,2/4/89
Edie Brickell & New Bohemians,What I Am,7,1989,3/4/89
Robin Zander,Surrender to Me,6,1989,3/11/89
Kon Kan,I Beg Your Pardon,15,1989,3/11/89
Deon Estus,Heaven Help Me,5,1989,4/29/89
Sa-Fire,Thinking of You,12,1989,5/6/89
The Belle Stars,Iko Iko,14,1989,5/13/89
One 2 Many,Downtown,37,1989,5/20/89
Jimmy Harnen with Synch,Where Are You Now?,10,1989,6/10/89
Roachford,Cuddly Toy (Feel for Me),25,1989,6/10/89
Waterfront,Cry,10,1989,6/17/89
Love and Rockets,So Alive,3,1989,8/5/89
Eric B. & Rakim,Friends,9,1989,8/26/89
The Jeff Healey Band,Angel Eyes,5,1989,9/2/89
Grayson Hugh,Talk It Over,19,1989,9/9/89
Sharon Bryant,Let Go,34,1989,10/14/89
Sybil,Don't Make Me Over,20,1989,12/2/89
Kix,Don't Close Your Eyes,11,1989,12/16/89
Jive Bunny and the Mastermixers,Swing the Mood,11,1990,1/13/90
Shana,I Want You,40,1990,1/13/90
Biz Markie,Just a Friend,9,1990,3/17/90
D Mob,C'mon and Get My Love,10,1990,3/17/90
Michael Penn,No Myth,13,1990,3/24/90
The Brat Pack,You're the Only Woman,36,1990,3/31/90
Jane Child,Don't Wanna Fall in Love,2,1990,4/14/90
The U-Krew,If U Were Mine,24,1990,4/14/90
Sinéad O'Connor,Nothing Compares 2 U,1,1990,4/21/90
A'Me Lorain,Whole Wide World,9,1990,4/28/90
Calloway,I Wanna Be Rich,2,1990,5/5/90
Faster Pussycat,House of Pain,28,1990,5/12/90
Electronic,Getting Away with It,38,1990,5/19/90
Perfect Gentlemen,Ooh La La (I Can't Get Over You),10,1990,6/2/90
Partners in Kryme,Turtle Power,13,1990,6/2/90
Giant,I'll See You in My Dreams,20,1990,6/9/90
Whistle,Always and Forever,35,1990,6/9/90
Brent Bourgeois,Dare to Fall in Love,32,1990,6/16/90
L.A. Guns,The Ballad of Jayne,33,1990,6/30/90
Louie Louie,Sittin' in the Lap of Luxury,19,1990,7/7/90
Nikki,Notice Me,21,1990,7/7/90
Mellow Man Ace,Mentirosa,14,1990,7/21/90
George Lamond,Bad of the Heart,25,1990,7/21/90
The Lightning Seeds,Pure,31,1990,7/28/90
Tyler Collins,Girls Nite Out,6,1990,8/4/90
The West Coast Rap All-Stars,We're All in the Same Gang,35,1990,8/18/90
Brother Beyond,The Girl I Used to Know,27,1990,8/25/90
Kyper,Tic-Tac-Toe,14,1990,9/1/90
Faith No More,Epic,9,1990,9/8/90
Indecent Obsession,Tell Me Something,31,1990,9/15/90
The Adventures of Stevie V,Dirty Cash (Money Talks),25,1990,9/29/90
Candyman,Knockin' Boots,9,1990,11/10/90
Concrete Blonde,Joey,19,1990,11/10/90
Deee-Lite,Groove Is in the Heart,4,1990,11/17/90
Soho,Hippychick,14,1990,11/24/90
2 in a Room,Wiggle It,15,1990,12/15/90
DNA,Tom's Diner,5,1990,12/22/90
The Simpsons,Do the Bartman,24A,1990,12/29/90
Iggy Pop,Candy,28,1991,2/2/91
Chris Isaak,Wicked Game,6,1991,3/2/91
Urban Dance Squad,Deeper Shade of Soul,21,1991,3/2/91
Oleta Adams,Get Here,5,1991,3/23/91
Susanna Hoffs,My Side of the Bed,30,1991,3/23/91
Lisette Melendez,Together Forever,35,1991,4/6/91
Bingoboys,How to Dance,25,1991,4/13/91
Harriet,Temple of Love,39,1991,4/13/91
Voices That Care,Voices That Care,11,1991,5/4/91
Monie Love,It's a Shame (My Sister),26,1991,5/11/91
Keedy,Save Some Love,15,1991,5/11/91
Divinyls,I Touch Myself,4,1991,5/18/91
The Triplets,You Don't Have to Go Home Tonight,14,1991,5/18/91
Riff,My Heart Is Failing Me,24,1991,5/25/91
LaTour,People Are Still Having Sex,35,1991,5/25/91
Queensrÿche,Silent Lucidity,9,1991,6/1/91
The Rude Boys,Written All Over Your Face,16,1991,6/8/91
Kane Roberts,Does Anybody Really Fall in Love Anymore?,38,1991,6/22/91
Lisa Fischer,How Can I Ease the Pain,11,1991,7/6/91
Marc Cohn,Walking in Memphis,13,1991,7/6/91
Steelheart,I'll Never Let You Go (Angel Eyes),23,1991,7/6/91
Yo-Yo,You Can't Play with My Yo-Yo,36,1991,7/6/91
David A. Stewart,Lily Was Here,11,1991,7/13/91
Keith Washington,Kissing You,40,1991,7/13/91
Corina,Temptation,6,1991,8/10/91
Desmond Child,Love on a Rooftop,40,1991,8/17/91
3rd Bass,Pop Goes the Weasel,29,1991,8/31/91
Jomanda,Got a Love for You,40,1991,8/31/91
TAMI Show,The Truth,28,1991,9/28/91
Loleatta Holloway,Good Vibrations,1,1991,10/5/91
Siouxsie and the Banshees,Kiss Them for Me,23,1991,10/19/91
Billy Falcon,Power Windows,35,1991,10/19/91
Chesney Hawkes,The One and Only,10,1991,11/2/91
Jasmine Guy,Just Want to Hold You,34,1991,11/2/91
Russ Irwin,My Heart Belongs to You,28,1991,11/9/91
Tony Terry,With You,14,1991,11/16/91
Big Audio Dynamite II,Rush,32,1991,11/16/91
Curtis Stigers,I Wonder Why,9,1991,11/23/91
Angelica,Angel Baby,29,1992,1/11/92
The Party,In My Dreams,34,1992,1/25/92
The Storm,I've Got a Lot to Learn About Love,26,1992,2/1/92
Kym Sims,Too Blind to See It,38,1992,2/1/92
The Shamen,Move Any Mountain (Progen 91),38,1992,2/1/92
Right Said Fred,I'm Too Sexy,1,1992,2/8/92
A Lighter Shade of Brown,On a Sunday Afternoon,39,1992,2/8/92
RTZ,Until Your Love Comes Back Around,26,1992,3/14/92
MC Brains,Oochie Coochie,21,1992,3/21/92
Kathy Troccoli,Everything Changes,14,1992,4/25/92
Chris Walker,Take Time,29,1992,5/9/92
Cause and Effect,You Think You Know Her,38,1992,5/16/92
Joe Public,Live and Learn,4,1992,5/23/92
Lidell Townsell and M.T.F.,Nu Nu,26,1992,5/23/92
Sir Mix-a-Lot,Baby Got Back,1,1992,7/4/92
Rozalla,Everybody's Free (To Feel Good),37,1992,8/1/92
Tom Cochrane,Life Is a Highway,6,1992,8/22/92
Shakespears Sister,Stay,4,1992,9/19/92
The Soup Dragons,Divine Thing,35,1992,10/3/92
House of Pain,Jump Around,3,1992,10/10/92
k.d lang,Constant Craving,38,1992,10/10/92
KWS,Please Don't Go,6,1992,10/17/92
Charles & Eddie,Would I Lie to You?,13,1992,11/7/92
The Heights,How Do You Talk to an Angel,1,1992,11/14/92
Trey Lorenz,Someone to Hold,19,1992,11/21/92
Saigon Kick,Love Is on the Way,12,1992,12/12/92
Wreckx-n-Effect,Rump Shaker,2,1992,12/26/92
Mad Cobra,Flex,13,1993,1/9/93
N2Deep,Back to the Hotel,14,1993,1/9/93
The S.O.U.L. S.Y.S.T.E.M.,It's Gonna Be a Lovely Day,34,1993,1/23/93
Dan Baird,I Love You Period,26,1993,1/23/93
Lo-Key?,I Got a Thang 4 Ya!,27,1993,2/6/93
Portrait,Here We Go Again!,11,1993,2/13/93
Boy Krazy,That's What Love Can Do,18,1993,2/27/93
Regina Belle,A Whole New World,1,1993,3/6/93
Digable Planets,Rebirth of Slick (Cool Like Dat),15,1993,3/6/93
Positive K,I Got a Man,14,1993,3/20/93
Paperboy,Ditty,10,1993,4/24/93
Men at Large,So Alone,31,1993,4/24/93
Sunscreem,Love U More,36,1993,4/24/93
Joey Lawrence,Nothin' My Love Can't Fix,19,1993,5/8/93
Tasmin Archer,Sleeping Satellite,32,1993,6/5/93
Robin S.,Show Me Love,5,1993,6/12/93
Green Jellÿ,Three Little Pigs,17,1993,6/12/93
Captain Hollywood Project,More and More,17,1993,6/26/93
Duice,Dazzey Duks,12,1993,7/10/93
Tag Team,Whoomp! (There It Is),2,1993,7/31/93
U.N.V.,Something's Goin' On,29,1993,7/31/93
95 South,"Whoot, There It Is",11,1993,8/14/93
4 Non Blondes,What's Up?,14,1993,8/14/93
Fu-Schnickens,What's Up Doc? (Can We Rock),39,1993,8/14/93
The Proclaimers,I'm Gonna Be (500 Miles),3,1993,8/21/93
Onyx,Slam,4,1993,8/21/93
Cypress Hill,Insane in the Brain,19,1993,9/25/93
Clive Griffin,When I Fall in Love,23,1993,9/25/93
Big Daddy Kane,Very Special,31,1993,10/16/93
Haddaway,What Is Love,11,1993,10/30/93
Blind Melon,No Rain,20,1993,10/30/93
Intro,Come Inside,33,1993,10/30/93
Lisa Keith,Better Than You,36,1993,11/6/93
DRS,Gangsta Lean,4,1993,11/20/93
K7,Come Baby Come,18,1993,12/11/93
Culture Beat,Mr. Vain,17,1994,1/22/94
Gabrielle,Dreams,26,1994,1/22/94
Queen Latifah,U.N.I.T.Y.,23,1994,1/29/94
Us3,Cantaloop (Flip Fantasia),9,1994,3/5/94
Eternal,Stay,19,1994,3/12/94
Crash Test Dummies,Mmm Mmm Mmm Mmm,4,1994,4/16/94
12 Gauge,Dunkie Butt (Please Please Please),28,1994,4/16/94
Beck,Loser,10,1994,4/30/94
Masta Ace Incorporated,Born to Roll,23,1994,5/7/94
Big Mountain,"Baby, I Love Your Way",6,1994,5/14/94
M People,Moving on Up,34,1994,6/25/94
Ahmad,Back in the Day,26,1994,8/6/94
The Offspring,Come Out and Play,38A,1994,8/6/94
The Puppies,Funky Y-2-C,40,1994,8/13/94
Public Enemy,Give It Up,33,1994,8/20/94
Meshell Ndegeocello,Wild Night,3,1994,9/3/94
Candlebox,Far Behind,18,1994,10/1/94
Lucas,Lucas with the Lid Off,29,1994,11/5/94
B.M.U. (Black Men United),U Will Know,28,1994,11/12/94
Ini Kamoze,Here Comes the Hotstepper,1,1994,12/17/94
20 Fingers,Short Dick Man,14,1995,1/7/95
Deadeye Dick,New Age Girl,27,1995,1/7/95
Corona,The Rhythm of the Night,11,1995,1/28/95
4 P.M.,Sukiyaki,8,1995,2/4/95
Andru Donalds,Mishale,38,1995,2/11/95
N II U,I Miss You,22,1995,2/18/95
Vince Gill,House of Love,37,1995,2/18/95
Des'ree,You Gotta Be,5,1995,3/11/95
2 Unlimited,Get Ready for This,38,1995,4/8/95
Subway,This Lil' Game We Play,15,1995,4/15/95
Jamie Walters,Hold On,16,1995,4/29/95
