Artist,Track,Peak Position,Year,Peak Date
Boots Brown,Cerveza,23,1958,9/29/58
The Shields,You Cheated,12,1958,10/6/58
Bobby Hendricks,Itchy Twitchy Feeling,25,1958,10/6/58
Donnie Owens,Need You,25,1958,10/6/58
Bobby Day,Rockin' Robin,2,1958,10/13/58
Earl Grant,The End,7,1958,10/13/58
Robin Luke,Susie Darlin',5,1958,10/13/58
The Five Blobs,The Blob,33,1958,11/3/58
"Timmie ""Oh Yeah"" Rogers",Back to School Again,36,1958,11/18/58
The Royaltones,Poor Boy,17,1958,12/1/58
The Teddy Bears,To Know Him Is to Love Him,1,1958,12/15/58
The Nu-Tornados,"Philadelphia, U.S.A.",26,1958,12/22/58
Harry Simeone Chorale,The Little Drummer Boy,13,1959,1/12/59
Billy Grammer,Gotta Travel On,4,1959,1/19/59
The Quaker City Boys,Teasin',39,1959,1/26/59
Reg Owen,Manhattan Spiritual,10,1959,2/9/59
Jesse Lee Turner,The Little Space Girl,20,1959,2/9/59
Eugene Church and the Fellows,Pretty Girls Everywhere,36,1959,2/23/59
Chris Barber's Jazz Band,Petite Fleur (Little Flower),5,1959,3/2/59
The Bell Notes,I've Had It,6,1959,3/9/59
Gene Allison,You Can Make It If You Try,36,1959,3/9/59
The Mark IV,I Got a Wife,24,1959,3/16/59
Thomas Wayne with the DeLons,Tragedy,5,1959,3/23/59
Jesse Belvin,Guess Who,31,1959,3/30/59
Frankie Ford,Sea Cruise,14,1959,4/6/59
Rod Bernard,This Should Go on Forever,20,1959,4/13/59
Dodie Stevens,Pink Shoe Laces,3,1959,4/13/59
Travis and Bob,Tell Him No,8,1959,4/27/59
The Virtues,Guitar Boogie Shuffle,5,1959,4/27/59
Tommy Dee,Three Stars,11,1959,5/4/59
Edward Byrnes,"Kookie, Kookie (Lend Me Your Comb)",4,1959,5/11/59
The Impalas,Sorry (I Ran All the Way Home),2,1959,5/11/59
Franck Pourcel's French Fiddles,Only You,9,1959,6/1/59
Gary Stites,Lonely for You,24,1959,6/1/59
Billy Storm,I've Come of Age,28,1959,6/1/59
Gerry Granahan,"No Chemise, Please",23,1959,6/9/59
The Fiestas,So Fine,11,1959,6/15/59
The Wailers,Tall Cool One[36],36,1959,6/22/59
Preston Epps,Bongo Rock,14,1959,6/29/59
The Mystics,Hushabye,20,1959,6/29/59
Mickey Mozart Quintet,Little Dipper,30,1959,7/6/59
The Falcons,You're So Fine,17,1959,7/13/59
Stonewall Jackson,Waterloo,4,1959,7/13/59
Carl Mann,Mona Lisa,25,1959,8/10/59
Jacky Noguez and His Musette Orchestra,"Ciao, Ciao Bambina",24,1959,8/10/59
Jerry Keller,Here Comes Summer,14,1959,8/17/59
Tony Bellus,Robbin the Cradle,25,1959,8/17/59
Ronnie Hawkins and the Hawks,Mary Lou,26,1959,8/17/59
Phil Phillips with the Twilights,Sea of Love,2,1959,8/24/59
Bob McFadden and Dor,The Mummy,39,1959,8/24/59
The Tempos,See You in September,23,1959,9/7/59
Dick Flood,The Three Bells (The Jimmy Brown Story),23,1959,9/14/59
Ivo Robic and the Song-Masters,Morgen,13,1959,9/21/59
Floyd Robinson,Makin' Love,20,1959,9/28/59
Nina Simone,"I Loves You, Porgy",18,1959,10/5/59
Bo Diddley,Say Man,20,1959,10/26/59
Mormon Tabernacle Choir,Battle Hymn of the Republic,13,1959,10/26/59
The Fireflies,You Were Mine,21,1959,10/26/59
